deviceId,timestamp,ACC,BV,CR,GYR,LAT_LON,RPM_KM,Sl_No.,TEMP,TIME
VIM_2.4_3,1538238311717,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4322,"26,25,27","243,244,237,243,-99"
VIM_2.4_3,1538238314376,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4323,"26,25,27","243,237,243,243,237"
VIM_2.4_3,1538238316978,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4324,"26,25,27","243,244,237,243,-99"
VIM_2.4_3,1538238319600,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4325,"26,25,27","243,237,244,242,-99"
VIM_2.4_3,1538238321959,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4326,"26,25,27","238,243,243,237,243"
VIM_2.4_3,1538238324376,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4327,"26,25,27","243,237,244,243,-99"
VIM_2.4_3,1538238327284,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4328,"26,25,27","237,243,244,237,243"
VIM_2.4_3,1538238329818,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4329,"26,25,27","243,238,243,243,-99"
VIM_2.4_3,1538238332518,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4330,"26,25,27","237,243,243,237,-99"
VIM_2.4_3,1538238335238,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4331,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238337877,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4332,"26,25,27","243,237,243,244,236"
VIM_2.4_3,1538238340479,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4333,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238343137,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4334,"26,25,27","243,237,243,243,237"
VIM_2.4_3,1538238345754,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4335,"26,25,27","243,244,236,243,-99"
VIM_2.4_3,1538238348478,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4336,"26,25,27","243,237,243,243,-99"
VIM_2.4_3,1538238350718,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4337,"26,25,27","237,244,243,237,243"
VIM_2.4_3,1538238353956,"0.000,0.000,0.000","81,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4338,"26,25,27","243,237,244,243,237"
VIM_2.4_3,1538238356855,"0.000,0.000,0.000","81,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4339,"26,25,27","244,236,243,244,-99"
VIM_2.4_3,1538238359340,"0.000,0.000,0.000","81,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4340,"26,25,27","237,242,244,237,-99"
VIM_2.4_3,1538238361964,"0.000,0.000,0.000","81,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4341,"26,25,27","243,243,237,244,-99"
VIM_2.4_3,1538238364575,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4342,"26,25,27","244,236,244,243,237"
VIM_2.4_3,1538238367319,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4343,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238369977,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4344,"26,25,27","243,237,243,244,237"
VIM_2.4_3,1538238372757,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4345,"26,25,27","243,243,237,244,-99"
VIM_2.4_3,1538238375156,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4346,"26,25,27","242,238,243,243,-99"
VIM_2.4_3,1538238377716,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.980,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4347,"26,25,27","237,243,243,237,243"
VIM_2.4_3,1538238380090,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4348,"26,25,27","244,237,243,243,-99"
VIM_2.4_3,1538238382996,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4349,"26,25,27","237,243,244,236,244"
VIM_2.4_3,1538238385173,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4350,"26,25,27","243,237,243,244,-99"
VIM_2.4_3,1538238387877,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.960,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4351,"26,25,27","236,244,243,237,-99"
VIM_2.4_3,1538238390478,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4352,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238393139,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.960,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4353,"26,25,27","244,237,243,244,237"
VIM_2.4_3,1538238395777,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.960,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4354,"26,25,27","243,243,237,244,-99"
VIM_2.4_3,1538238398437,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.960,3.980,3.980,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4355,"26,25,27","243,237,243,244,237"
VIM_2.4_3,1538238401237,"0.000,0.000,0.000","82,100,3.980,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.960,3.980,3.980,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4356,"26,25,27","243,243,237,243,-99"
